desa,Actual,Predicted
Tanjung Baru,20.00508275230721,29.55877796890682
Way Muli,29.98278172150897,34.07673580632993
Kelawi,20.990841781142876,31.15256682105615
Ruguk,30.836709100401343,29.27483258834338
Klaten,33.903125583005675,30.137893648413947
Rawa Selapan,21.69214396006212,30.385040181382312
Sidoreno,25.466927105836568,33.00108728569438
Tanjung Harapan,29.33662950980947,33.851989409556545
Banjar Suri,28.933638748341913,33.98551384535225
Kelau,40.89309594191072,34.72413218078969
Karang Jaya,40.09124868167886,32.84183361729853
Banyumas,35.22898906178328,34.402834007153416
Mekar Jaya,35.638381730411844,33.36776498694156
Legundi,28.46046235106625,29.785848762514643
Sumber Agung,30.8921318465757,33.83396002460182
Way Gelam,37.44587078550079,34.313032676372366
Bumi Restu,27.41283621703504,33.818802130792776
Banjar Masin,34.88667064042914,33.0522228844938
Negara Ratu,31.41921589253993,27.866492008215587
Bumi Sari,20.923002079544787,30.24270953041727
Karang Sari,34.226844700288495,30.869556809763512
Karang Sari,25.938951559286075,28.689286410462667
Batuliman Indah,29.007557933191556,30.33009711909687
Bumi Asih,31.763890809183977,35.616167471144394
Jondong,36.170957406227245,33.60824667187755
Sukaraja,38.46274260659872,34.339247403144924
Rejo Mulyo,36.70231264870945,34.001287158556906
Lematang,34.33738788364461,27.904095081601895
Natar,17.882064313745044,28.18666780165748
Mandala Sari,37.47728011034914,33.45245489164796
Sukamaju,38.884953411594545,34.58448038338947
Banjar Agung,28.88739500883606,28.570443028723595
Babatan,22.754354628293044,34.0410983213341
Sukatani,28.37005446124281,29.637484355884954
Suka Banjar,22.797432832326066,30.810820854470073
Sidomekar,32.178566247797136,33.64672108521734
Tanjung Ratu,28.833806946035068,33.19025451109931
Batu Balak,41.71598697712463,35.55087446165555
Tanjung Gading,38.774522627306034,35.59377460878759
Sidoharjo,18.288988975627937,31.355436571269145
Puji Rahayu,42.264568572801124,35.00785580295663
Belambangan,30.142545292078417,30.333048111542272
Sumber Jaya,28.899085492496255,29.676122412685665
Penengahan,38.53694170718724,33.135663832251986
Sumber Agung,27.755832355007897,30.503953288826988
Sumber Nadi,37.90077710121177,32.62396867635753
Pemanggilan,14.087763097613909,29.404605264451163
Campang Tiga,33.00927872746587,29.472999737686905
Karya Tunggal,33.04306899567813,31.520097081094004
Sukajaya,33.47103553221642,31.800486124328565
Maja,35.01735253873373,34.01615713057349
Sindang Sari,24.828473027199394,27.761220240006146
Wonodadi,37.23080836151293,33.7401736176693
Mekar Sari,39.43906169453139,34.21680824331344
Purwotani,25.659500362353228,30.34432984414793
Bandar Agung,28.190883175026347,30.53014900777058
Marga Agung,33.646708823003266,27.002668733242878
Kota Dalam,32.059348786276296,33.06211803594502
Suban,19.329341057004736,32.87751660044108
Pematang Baru,38.89034878752035,34.760504756256005
Negeri Pandan,30.668705544387613,31.897792389996166
Way Hui,29.211062344188107,30.456209481984395
Pulau Tengah,38.222181552569566,35.17744600330005
Bangun Sari,28.356285237831784,30.438056830571174
Muara Putih,15.8088555854598,27.179749502446917
Kecapi,36.11389174275899,33.540977004126084
Munjuk Sampurna,31.287697514511557,29.712854615013615
Malangsari,31.657112822920652,28.44796241410283
Kemukus,39.47775132180428,31.775288806502015
Karang Rejo,34.4070000295856,31.887015585403436
Suka Damai,18.392905172496015,29.033450027523596
Pematang,32.86953147170469,33.38174289189132
Sukabakti,39.45617495787053,32.09953013991921
Gunung Terang,24.674148367025467,33.05208664014778
Tetaan,39.37938129693368,29.497648462922726
Candi Mas,23.1611702071952,27.789834638107415
Mulyosari,39.087363416784996,30.136708055125233
